Context,Code,Occupation
95,49-9081.00,Wind Turbine Service Technicians
89,47-5043.00,"Roof Bolters, Mining"
87,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
85,47-2132.00,"Insulation Workers, Mechanical"
82,49-9044.00,Millwrights
80,49-3041.00,Farm Equipment Mechanics and Service Technicians
80,53-2031.00,Flight Attendants
80,53-7041.00,Hoist and Winch Operators
79,47-2011.00,Boilermakers
79,49-3051.00,Motorboat Mechanics and Service Technicians
78,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
78,49-9031.00,Home Appliance Repairers
78,49-3092.00,Recreational Vehicle Service Technicians
78,47-5013.00,"Service Unit Operators, Oil and Gas"
77,47-3013.00,Helpers--Electricians
77,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
76,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
75,49-3023.00,Automotive Service Technicians and Mechanics
75,47-5041.00,Continuous Mining Machine Operators
75,47-4021.00,Elevator and Escalator Installers and Repairers
75,47-4099.03,Weatherization Installers and Technicians
74,49-3052.00,Motorcycle Mechanics
73,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
73,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
73,49-9095.00,Manufactured Building and Mobile Home Installers
73,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
73,53-5031.00,Ship Engineers
72,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
72,47-2221.00,Structural Iron and Steel Workers
72,47-2044.00,Tile and Stone Setters
